timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,701,1796,-626,2,-40,-28
10,697,1812,-593,-21,-10,53
20,714,1810,-559,11,44,-47
30,753,1815,-560,-11,27,36
40,721,1811,-562,6,46,24
50,735,1803,-547,-14,45,40
60,726,1806,-556,-18,5,-18
70,728,1831,-586,32,29,-23
80,724,1791,-572,18,74,-6
90,743,1774,-503,43,48,48
100,725,1792,-535,-13,18,66
110,722,1783,-540,-24,65,-12
120,741,1775,-558,11,34,1
130,713,1794,-535,55,-7,50
140,728,1823,-557,32,3,32
150,682,1797,-593,31,35,-1
160,742,1788,-584,25,32,15
170,708,1792,-589,13,-17,29
180,735,1759,-592,7,37,4
190,743,1806,-544,23,3,0
200,717,1818,-562,55,1,-30
210,718,1809,-573,56,-17,-40
220,700,1799,-584,52,-6,-6
230,693,1800,-571,23,6,-89
240,709,1820,-607,35,-19,-46
250,691,1818,-582,16,9,1
260,713,1794,-571,47,19,12
270,725,1800,-581,10,64,-22
280,713,1808,-583,42,49,-22
290,716,1809,-569,57,18,21
300,701,1769,-588,29,13,9
310,721,1808,-576,38,-20,30
320,704,1817,-595,17,14,-11
330,729,1797,-597,22,27,-10
340,697,1776,-572,24,49,-5
350,732,1799,-558,39,3,31
360,741,1802,-564,25,42,16
370,707,1784,-584,40,60,-28
380,707,1807,-563,51,39,-8
390,694,1813,-568,16,-11,-17
400,689,1811,-585,36,-10,-19
410,705,1803,-602,-16,7,-7
420,697,1800,-589,1,32,13
430,702,1804,-581,-2,27,-36
440,708,1791,-577,26,51,30
450,701,1808,-575,2,16,18
460,719,1792,-579,30,19,9
470,722,1772,-569,65,27,-18
480,702,1797,-560,17,26,-46
490,706,1814,-571,29,10,44
500,720,1815,-592,19,13,-6
510,731,1788,-594,25,28,41
520,702,1801,-564,-9,26,6
530,678,1802,-598,22,48,-10
540,705,1776,-558,63,38,0
550,730,1792,-592,67,87,-23
560,721,1810,-588,37,28,18
570,725,1784,-593,56,-21,18
580,725,1801,-576,38,0,9
590,691,1797,-589,34,-34,-47
600,717,1803,-574,4,18,-26
610,709,1797,-584,39,-23,27
620,703,1796,-575,36,-14,-28
630,703,1769,-574,68,30,-13
640,711,1778,-590,-2,55,-34
650,712,1810,-595,-5,42,-37
660,721,1790,-619,10,2,43
670,721,1797,-607,14,-9,-17
680,711,1750,-571,0,22,4
690,734,1816,-591,6,-35,3
700,708,1803,-565,19,50,19
710,708,1802,-584,12,25,25
720,708,1802,-570,3,3,-46
730,693,1809,-577,-18,35,-15
740,693,1837,-580,1,49,14
750,710,1823,-565,-13,8,44
760,727,1806,-596,1,3,-4
770,683,1832,-577,27,34,50
780,737,1818,-617,-30,38,5
790,726,1814,-577,-5,32,84
800,735,1783,-564,9,44,1
810,737,1763,-563,40,56,28
820,754,1770,-584,22,21,8
830,710,1783,-577,5,35,20
840,684,1810,-615,-19,25,32
850,705,1803,-596,-31,27,21
860,699,1783,-551,-5,50,24
870,712,1821,-572,-3,55,17
880,751,1783,-524,14,29,5
890,754,1795,-550,5,10,-21
900,721,1820,-582,6,38,5
910,692,1809,-569,5,17,10
920,711,1834,-599,-42,57,81
930,693,1877,-622,-101,49,193
940,630,1889,-640,-127,63,425
950,591,1852,-672,-222,186,470
960,654,1811,-674,-224,255,584
970,802,1819,-580,-259,328,742
980,889,1873,-491,-308,285,799
990,950,1914,-457,-415,111,1069
