timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,-1038,1117,1644,-678,-2490,696
10,-829,1274,1133,-1266,-2028,1479
20,-550,937,1770,-1867,-2633,1178
30,-298,1309,846,-1123,-3749,2187
40,1009,-240,233,-1403,-2859,-178
50,374,180,501,-4404,-3515,-1931
60,-142,318,-507,-1418,-2000,-1825
70,103,1216,559,-760,562,-3012
80,339,587,46,-664,919,-2969
90,-125,335,-62,2720,2996,-3185
100,-651,-282,819,-6820,4889,-4269
110,-552,221,1196,-3157,5041,-6123
120,-1308,955,1304,-5651,3036,-4223
130,-1593,1274,1010,-5054,3021,-2943
140,-2264,1948,1464,-4350,5668,315
150,-2985,965,3242,1249,4610,2230
160,-3458,-341,3907,-282,3412,2940
170,-3781,-1213,5447,-195,765,1612
180,-3517,-1392,3963,-1408,-2724,726
190,-2052,-1543,2614,-1902,-3769,-444
200,-2961,-863,2634,-799,-3928,-1902
210,-2280,417,2418,-1921,-4625,-627
220,-1803,55,2147,912,-5402,614
230,-1572,-269,3382,1239,-7182,1644
240,-1234,-1517,2912,4067,-9710,-897
250,-1072,-10,1845,4263,-10086,-356
260,-941,216,1945,5234,-13194,659
270,-593,-539,-1371,7140,-13622,123
280,421,-1166,-1780,-2402,-5198,-584
290,535,401,-1336,-22,-3163,-1999
300,815,526,-1899,766,-1621,-1336
310,671,762,-2455,-3489,923,-946
320,195,1249,-2831,-1861,5873,-752
330,-102,675,-1450,-1802,9146,-876
340,-1062,498,-945,-4722,12501,-1078
350,-1838,1743,1746,-9210,17954,866
360,-4057,21,4044,-8905,17963,4565
370,-5097,-4043,11936,-1846,2657,-1418
380,-3773,-2369,3469,4266,-2407,-3194
390,-3069,-529,3589,-2216,-1621,-1915
400,-2677,-439,3509,-949,-2792,-2239
410,-2237,514,3385,4701,-4010,-2377
420,-1699,849,3017,8583,-6355,-152
430,-1066,-228,2186,1791,-7882,1348
440,-666,-341,1877,2427,-11236,-332
450,-369,201,-1140,651,-12255,104
460,420,132,-4512,-650,-4808,-698
470,679,1108,-1705,2778,2234,-799
480,899,377,-411,-1024,494,744
490,392,-196,-2167,-1852,3021,54
500,20,-587,-2065,-6175,6190,186
510,-1176,-663,-1804,-5954,11149,76
520,-3180,-322,-325,-4586,18394,-51
530,-6664,-111,4100,343,26678,549
540,-6074,-4104,16596,11504,-834,3415
550,-4804,-3342,2015,4331,-5704,-1625
560,-3210,-519,1973,2497,-1361,-3509
570,-2390,245,2441,673,-3367,277
580,-1780,-335,2371,6130,-4188,-257
590,-1167,250,2330,5124,-6514,1230
600,-731,-357,2084,3153,-9905,1237
610,-391,-630,166,1625,-11339,136
620,29,-216,-2177,1973,-7823,-955
630,583,422,-3213,-367,-1137,-1920
640,863,1201,-1877,-148,2906,-1173
650,539,779,-1763,-3478,5096,568
660,-815,352,-1535,-5104,10458,-10
670,-3114,599,106,-4720,17331,737
680,-8146,-174,6550,1160,21207,3441
690,-4910,-3407,12860,8995,-4684,1418
700,-4479,-2335,2223,-4978,-7465,-2910
710,-2710,-141,1658,-9,-4109,-4880
720,-1770,1534,1680,-548,-3828,118
730,-1108,752,1780,7942,-4472,2832
740,-597,-874,1679,3502,-5535,2275
750,-184,-672,951,-309,-6680,-89
760,175,315,-100,1732,-5914,-1366
770,457,636,-1260,-211,-3594,-790
780,508,663,-2105,-1708,887,-256
790,-121,621,-988,-1164,5344,-318
800,-1483,392,164,-2258,10043,-354
810,-3187,124,2046,-2340,13479,921
820,-2941,-267,7651,6501,8442,243
830,-2176,-49,5571,-2759,-6120,1222
840,-1965,-1193,1280,-4822,-5059,-1365
850,-1587,112,676,-2619,-1639,-2216
860,-1379,1070,1310,2280,716,-320
870,-1100,407,2254,1271,-107,1423
880,-880,-342,1809,-334,-1300,974
890,-863,-15,1054,338,-465,261
900,-794,221,1462,245,-59,463
910,-895,35,1551,-114,-259,587
920,-1184,23,1616,-1412,-258,487
930,-1405,-1,1672,-415,371,724
940,-1411,-210,1900,139,1224,970
950,-1436,79,2415,940,-344,-61
960,-1226,426,1823,61,-1119,1083
970,-952,312,1550,483,-371,585
980,-1000,210,1817,-496,-838,314
990,-1170,261,1573,244,-333,834
