timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,271,-316,1976,28,-85,-26
10,323,-360,1978,123,43,-38
20,305,-313,1948,141,14,-30
30,270,-280,1899,126,-23,11
40,269,-258,1826,69,52,-5
50,254,-278,1825,57,144,14
60,200,-332,1942,49,52,-510
70,192,-184,1779,-160,206,4
80,196,-194,1912,-174,301,78
90,244,-217,2049,-159,218,195
100,209,-234,2052,-128,257,243
110,173,-298,2031,-50,154,174
120,175,-266,1927,-63,242,212
130,141,-267,2028,-60,237,224
140,178,-280,2041,-13,239,208
150,154,-325,1970,-100,267,173
160,137,-287,2046,-108,238,174
170,91,-254,1863,-264,182,190
180,65,-98,1797,-488,288,292
190,-74,126,1587,-786,347,429
200,-236,384,1364,-1502,810,646
210,-185,1002,1253,-2499,1126,1512
220,-449,1231,1159,-3329,1223,2521
230,-599,1240,1492,-4180,1417,3812
240,-795,462,2188,-4193,1515,4475
250,-690,-751,3219,-3923,919,4815
260,-536,-1950,4332,-3774,-672,4561
270,-421,-2248,3843,-3240,-1929,4037
280,-633,-1761,2405,-2929,-2569,3628
290,-466,-2031,2440,-2167,-3060,3447
300,-536,-2580,2372,-973,-3282,2981
310,-387,-3352,2186,-72,-3630,2013
320,-245,-3777,1947,546,-3749,805
330,-81,-3739,1812,1215,-4032,-716
340,-272,-3644,1321,2362,-4425,-2011
350,-339,-3302,532,2903,-4320,-2372
360,-586,-2865,-560,2917,-3691,-3162
370,-541,-2594,-1261,2029,-2183,-3440
380,-451,-1979,-1096,1698,-788,-4651
390,-939,-2026,-2526,616,1688,-5217
400,-1146,-726,-560,247,4080,-5324
410,-1204,145,-531,276,4814,-4893
420,-1279,235,-595,377,6138,-4487
430,-1327,1080,1108,863,7337,-3976
440,-941,1672,3599,965,6072,-2592
450,-635,772,4255,965,3238,-1858
460,-521,18,2881,34,2807,-776
470,-522,35,3432,1327,2113,-1348
480,-423,389,3685,559,1101,-1019
490,-436,223,2902,245,745,-668
500,-274,124,3023,314,438,-708
510,-133,270,3274,720,-102,-352
520,-208,135,2658,920,-480,-84
530,-195,-68,2185,962,-269,-69
540,-114,-200,2333,770,1,-78
550,-88,-165,2265,541,-187,-123
560,-157,-179,2333,330,-246,-156
570,-167,-196,2228,343,-127,-42
580,-117,-187,2344,332,-222,41
590,-130,-292,2211,359,-395,6
600,-117,-419,1900,155,-361,-2
610,-101,-428,2033,44,-280,-36
620,-87,-516,1729,-95,-5,-143
630,-44,-344,2115,-82,-164,-128
640,-103,-348,1935,-6,-215,-174
650,-110,-298,1987,35,-46,-103
660,-95,-261,1959,183,-216,-152
670,-125,-215,1823,134,-65,-101
680,-108,-221,1969,108,-133,-132
690,-123,-255,1914,73,7,-159
700,-107,-245,1920,37,115,-90
710,-115,-251,2076,132,129,-74
720,-85,-349,2174,67,87,-5
730,-91,-404,2185,98,51,-45
740,-76,-354,2128,144,-31,-123
750,-107,-321,2136,83,-78,-49
760,-98,-274,2125,65,-104,-67
770,-126,-266,1978,38,-70,-25
780,-112,-294,2006,152,26,-85
790,-126,-167,1988,83,194,-129
800,-75,-243,2246,141,18,-72
810,-139,-233,1996,127,99,-113
820,-141,-159,2103,131,19,-12
830,-109,-231,2111,120,43,-31
840,-92,-194,2102,105,-119,58
850,-118,-245,2014,63,-62,-16
860,-101,-333,2033,48,-160,-20
870,-58,-257,2002,55,-40,-96
880,-114,-223,1981,78,-66,-103
890,-67,-173,1995,27,63,18
900,-98,-173,1938,45,73,52
910,-80,-237,2088,40,69,55
920,-65,-209,2131,45,11,68
930,-57,-239,2054,-2,-2,30
940,-81,-288,2044,-22,99,-2
950,-62,-248,2091,-20,12,-36
960,-112,-198,2055,19,17,-4
970,-64,-185,2092,79,51,69
980,-71,-267,2020,80,57,39
990,-66,-215,2117,78,63,12
