timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,-204,-392,2118,122,264,-119
10,-275,-230,2197,86,153,1
20,-308,-251,2157,123,178,28
30,-267,-295,2224,154,58,52
40,-223,-284,2115,142,150,29
50,-150,-235,2305,146,-70,114
60,-178,-210,2350,43,-375,129
70,-186,-278,2442,-529,-593,-335
80,-216,-309,2470,-180,-638,324
90,-170,-383,2482,-297,-564,333
100,-153,-405,2673,-318,-764,463
110,-100,-535,2749,-246,-995,483
120,-26,-793,2789,-166,-1337,538
130,47,-829,2595,0,-1209,312
140,124,-904,2437,-55,-1395,427
150,266,-955,2695,245,-1448,341
160,250,-967,2547,274,-1963,49
170,162,-894,2219,761,-1934,-160
180,99,-810,2035,1084,-1808,-328
190,102,-731,1769,1214,-1597,-539
200,171,-760,1625,1279,-1350,-635
210,277,-738,1594,1480,-1293,-808
220,248,-704,1399,1396,-1467,-991
230,115,-668,1097,1571,-1125,-1202
240,59,-454,1037,1802,-772,-1413
250,-98,-123,1192,1823,-543,-1530
260,-285,110,1092,1514,-263,-1495
270,-287,397,947,1543,446,-1473
280,-297,770,1203,1046,535,-1310
290,-248,892,1154,611,731,-1129
300,-227,962,974,75,962,-1076
310,-169,1179,647,-395,1743,-1051
320,-61,1698,1120,-793,1901,-709
330,20,1934,1141,-1238,1709,-56
340,-119,1864,1141,-1450,1882,546
350,-203,1606,1896,-1467,2074,1027
360,-337,1118,2844,-1350,1756,1312
370,-303,532,3562,-1415,1106,1555
380,-300,36,3783,-1400,575,1419
390,-216,-142,3830,-1260,-233,1406
400,-115,-300,3386,-1237,-682,1401
410,-31,-546,2795,-1074,-988,1483
420,134,-1209,2181,-980,-900,1201
430,302,-1606,1975,-677,-588,778
440,447,-1957,1814,-315,-418,180
450,448,-1836,1861,75,-341,-449
460,348,-1601,1511,202,-536,-914
470,242,-1250,1372,407,-363,-1222
480,185,-963,1215,598,-221,-1361
490,106,-584,1051,685,100,-1395
500,31,-170,1154,677,538,-1442
510,-176,291,1178,368,851,-1281
520,-170,780,1715,63,1073,-1063
530,-368,1182,2022,-283,947,-801
540,-351,1461,2290,-550,967,-358
550,-493,1647,2546,-730,754,150
560,-414,1644,2494,-950,705,635
570,-348,1653,2520,-1119,610,1189
580,-295,1207,2487,-1295,410,2196
590,10,630,2697,-787,191,2008
600,-89,-39,2533,-985,-451,3048
610,-211,-456,2387,-1739,-295,1544
620,135,-1099,2163,-1662,-602,1745
630,323,-1635,2115,-1264,-527,449
640,286,-1628,2218,-499,-568,47
650,170,-1460,1994,-510,-476,-114
660,-2,-1174,1863,-120,-216,-1537
670,30,-888,1787,443,87,-467
680,26,-848,1667,545,146,230
690,49,-656,1801,471,230,96
700,1,-583,1969,269,236,10
710,-41,-604,2062,55,143,-34
720,-89,-509,2139,-67,108,-124
730,-195,-349,2132,-52,-6,2
740,-162,-385,2156,67,88,113
750,-131,-495,2088,138,67,55
760,-88,-474,2116,139,64,23
770,-56,-483,2072,82,80,-43
780,-38,-424,2084,85,-28,25
790,-49,-352,1915,11,-7,-14
800,-59,-288,2028,82,192,46
810,-18,-336,2086,47,1,-27
820,-33,-327,2008,82,-12,-20
830,-37,-329,1867,14,-24,58
840,-48,-330,1791,-55,124,66
850,-54,-300,2059,-38,72,122
860,-26,-350,2012,-42,-17,82
870,-57,-390,2126,30,43,0
880,-49,-428,2217,73,-60,26
890,-64,-328,2203,95,-150,0
900,-64,-372,2072,133,-117,55
910,-37,-451,1924,57,10,27
920,-11,-385,2013,-31,135,114
930,4,-427,2127,18,25,-43
940,26,-410,2100,72,3,11
950,-52,-393,1972,121,72,-51
960,-49,-350,1995,201,234,-11
970,-37,-388,2136,172,123,18
980,-40,-354,2011,71,53,-64
990,-17,-361,2036,60,-10,-78
