timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,-50,-1391,2332,78,-52,-361
10,-54,-1453,2254,119,-194,-533
20,-98,-1392,2164,9,-616,-654
30,73,-1520,2305,96,-1031,-999
40,11,-1443,2173,256,-1166,-1077
50,27,-1346,2010,458,-1525,-1350
60,-8,-1234,1740,593,-1483,-1420
70,21,-1054,1454,595,-1426,-1446
80,81,-955,1266,592,-854,-1419
90,98,-910,1268,518,-690,-1408
100,86,-814,1250,475,-320,-1464
110,185,-668,1196,353,-19,-1449
120,136,-468,1132,318,328,-1341
130,103,-289,1157,168,722,-1189
140,56,-184,1216,117,1026,-925
150,-3,-152,1300,133,1367,-751
160,-139,-73,1221,-243,1658,-524
170,-193,28,1047,-67,2095,-152
180,-352,169,1144,238,2695,215
190,-632,345,1257,96,3228,710
200,-709,531,1545,-648,3841,1285
210,-757,450,2142,-1171,3589,1961
220,-727,31,2456,-1164,3220,2491
230,-940,-468,2501,-1650,2757,2374
240,-812,-878,2876,-1604,2470,2159
250,-875,-1164,2839,-1263,2097,1777
260,-775,-1300,2602,-1209,1775,1647
270,-788,-1275,2770,-1124,1185,1163
280,-723,-1114,2634,-1290,544,1059
290,-887,-1090,2472,-978,155,952
300,-899,-1215,2408,-613,-38,954
310,-811,-1470,2522,-378,-534,782
320,-748,-1894,2565,-237,-865,519
330,-650,-2419,2692,18,-1188,-71
340,-650,-2770,2966,432,-1832,-865
350,-635,-2809,2922,843,-2590,-1671
360,-724,-2470,2441,1315,-3033,-2452
370,-850,-2085,2265,1650,-3265,-3032
380,-796,-1709,2130,1661,-3512,-3028
390,-737,-1663,2276,1763,-3841,-3234
400,-735,-1574,1785,1893,-3780,-3445
410,-601,-1409,888,1861,-3519,-3699
420,-451,-964,116,1823,-2588,-3978
430,-219,-435,297,1631,-1465,-3875
440,-79,135,776,1410,-802,-3439
450,52,463,1406,1262,-557,-2850
460,177,496,1273,1204,-270,-2136
470,198,619,1079,1109,4,-1622
480,246,787,1409,975,124,-1121
490,193,786,1280,776,364,-640
500,212,562,1904,520,729,-87
510,319,130,2091,311,444,-62
520,398,16,2050,140,482,-150
530,346,29,1900,25,370,-143
540,308,-18,1954,-28,317,-95
550,271,-9,1953,-140,413,-81
560,272,-22,1946,-113,447,12
570,272,-191,1953,-198,533,-63
580,343,-177,2114,-213,616,-95
590,302,-228,1994,-321,540,1
600,340,-180,2153,-208,426,5
610,333,-202,2193,-188,296,64
620,338,-182,2146,-124,173,69
630,319,-138,2141,-112,77,121
640,324,-251,1913,-69,82,140
650,318,-386,1923,-39,298,14
660,341,-361,2211,-70,192,-81
670,313,-388,2044,-169,84,-76
680,279,-306,2024,-270,212,-140
690,254,-213,2146,-221,244,-66
700,297,-294,2040,-301,199,-48
710,300,-308,2057,-323,57,-165
720,186,-241,1950,-410,103,-124
730,295,-455,2133,-353,-34,-104
740,299,-489,1835,-234,129,-47
750,357,-478,2092,-101,199,-131
760,283,-393,2029,2,96,-79
770,305,-361,2123,94,16,-82
780,252,-327,2041,142,-25,-15
790,270,-385,1978,46,17,-66
800,269,-356,1931,-33,110,-82
810,283,-354,2070,-51,86,-1
820,287,-388,2024,-42,64,-13
830,245,-364,2090,9,28,-29
840,274,-323,2082,15,-28,-21
850,262,-374,1909,-22,-23,18
860,292,-366,1978,-84,94,79
870,227,-308,2090,-54,7,20
880,236,-358,2025,4,107,27
890,241,-335,2104,22,-46,-37
900,229,-335,1986,31,13,29
910,252,-331,2063,4,-41,40
920,250,-348,1919,40,-33,-13
930,264,-444,1964,54,44,-65
940,259,-390,2038,59,23,-35
950,260,-354,2012,73,67,-6
960,266,-342,2061,22,25,5
970,255,-359,2023,120,1,25
980,269,-334,2005,73,-19,23
990,256,-351,1941,12,-9,20
